 iy  im   date    soi
  1928  12  1928.958       1.2
  1929   1  1929.042       1.6
  1929   2  1929.125       2.4
  1929   3  1929.208       0.9
  1929   4  1929.292      -0.0
  1929   5  1929.375      -1.3
  1929   6  1929.458      -0.1
  1929   7  1929.542      -0.0
  1929   8  1929.625       0.0
  1929   9  1929.708       0.3
  1929  10  1929.792       1.1
  1929  11  1929.875       0.8
  1929  12  1929.958       0.4
  1930   1  1930.042       1.6
  1930   2  1930.125       1.3
  1930   3  1930.208       0.5
  1930   4  1930.292      -0.4
  1930   5  1930.375      -0.2
  1930   6  1930.458      -0.8
  1930   7  1930.542      -0.8
  1930   8  1930.625      -0.1
  1930   9  1930.708      -0.3
  1930  10  1930.792       1.0
  1930  11  1930.875       0.5
  1930  12  1930.958      -0.3
  1931   1  1931.042       1.3
  1931   2  1931.125      -1.1
  1931   3  1931.208       1.1
  1931   4  1931.292       0.3
  1931   5  1931.375       0.7
  1931   6  1931.458       1.0
  1931   7  1931.542       0.5
  1931   8  1931.625      -0.5
  1931   9  1931.708       0.4
  1931  10  1931.792      -0.4
  1931  11  1931.875      -0.4
  1931  12  1931.958       0.8
  1932   1  1932.042       0.4
  1932   2  1932.125       0.3
  1932   3  1932.208      -0.4
  1932   4  1932.292      -2.0
  1932   5  1932.375      -0.3
  1932   6  1932.458      -0.5
  1932   7  1932.542      -1.9
  1932   8  1932.625      -0.6
  1932   9  1932.708      -0.9
  1932  10  1932.792      -0.3
  1932  11  1932.875      -0.5
  1932  12  1932.958       0.0
  1933   1  1933.042      -1.1
  1933   2  1933.125       0.7
  1933   3  1933.208      -0.1
  1933   4  1933.292      -0.1
  1933   5  1933.375       0.0
  1933   6  1933.458      -0.8
  1933   7  1933.542      -0.2
  1933   8  1933.625      -0.1
  1933   9  1933.708       0.5
  1933  10  1933.792       0.4
  1933  11  1933.875       0.4
  1933  12  1933.958       0.7
  1934   1  1934.042       1.0
  1934   2  1934.125       0.7
  1934   3  1934.208       0.2
  1934   4  1934.292      -0.0
  1934   5  1934.375      -0.9
  1934   6  1934.458       0.4
  1934   7  1934.542      -0.3
  1934   8  1934.625      -2.2
  1934   9  1934.708      -0.4
  1934  10  1934.792       0.7
  1934  11  1934.875       1.0
  1934  12  1934.958      -0.4
  1935   1  1935.042       0.9
  1935   2  1935.125       0.0
  1935   3  1935.208       1.4
  1935   4  1935.292      -0.1
  1935   5  1935.375      -0.7
  1935   6  1935.458      -0.5
  1935   7  1935.542      -0.5
  1935   8  1935.625       0.3
  1935   9  1935.708       0.6
  1935  10  1935.792       0.9
  1935  11  1935.875       0.2
  1935  12  1935.958      -0.5
  1936   1  1936.042       0.1
  1936   2  1936.125       0.5
  1936   3  1936.208       0.4
  1936   4  1936.292       0.0
  1936   5  1936.375      -0.3
  1936   6  1936.458      -0.6
  1936   7  1936.542      -0.2
  1936   8  1936.625      -1.0
  1936   9  1936.708       0.3
  1936  10  1936.792       0.3
  1936  11  1936.875      -1.3
  1936  12  1936.958      -0.2
  1937   1  1937.042       1.2
  1937   2  1937.125      -0.0
  1937   3  1937.208       0.7
  1937   4  1937.292      -0.3
  1937   5  1937.375      -0.4
  1937   6  1937.458      -0.2
  1937   7  1937.542      -0.9
  1937   8  1937.625       0.2
  1937   9  1937.708       0.4
  1937  10  1937.792      -0.0
  1937  11  1937.875      -0.6
  1937  12  1937.958       0.5
  1938   1  1938.042       0.9
  1938   2  1938.125       0.8
  1938   3  1938.208      -0.0
  1938   4  1938.292      -0.1
  1938   5  1938.375       0.3
  1938   6  1938.458       0.8
  1938   7  1938.542       1.1
  1938   8  1938.625       0.9
  1938   9  1938.708       1.1
  1938  10  1938.792       1.7
  1938  11  1938.875      -0.2
  1938  12  1938.958       1.5
  1939   1  1939.042       2.1
  1939   2  1939.125       1.2
  1939   3  1939.208       1.3
  1939   4  1939.292       0.3
  1939   5  1939.375      -0.5
  1939   6  1939.458      -0.5
  1939   7  1939.542       0.3
  1939   8  1939.625      -0.4
  1939   9  1939.708      -0.6
  1939  10  1939.792      -1.2
  1939  11  1939.875      -0.9
  1939  12  1939.958      -0.9
  1940   1  1940.042       0.1
  1940   2  1940.125      -0.2
  1940   3  1940.208      -0.7
  1940   4  1940.292      -0.8
  1940   5  1940.375      -1.4
  1940   6  1940.458      -1.7
  1940   7  1940.542      -1.8
  1940   8  1940.625      -1.6
  1940   9  1940.708      -1.4
  1940  10  1940.792      -0.9
  1940  11  1940.875      -0.7
