years(Äê£© mjd gps(input) gps(rm_leap) gps(rm_leap_3sigma) gps(rm_leap_sigma_depoly) gps(rm_leap_sigma_running_aver) gps(rm_leap_sigma_running_aver_sigma) year month day
2004.474 53178.5    5.49    5.49    5.49    5.51    6.28    6.28 2004    6   22
2004.477 53179.5    6.07    6.07    6.07    6.09    6.90    6.90 2004    6   23
2004.479 53180.5    6.09    6.09    6.09    6.11    6.95    6.95 2004    6   24
2004.482 53181.5    7.72    7.72    7.72    7.74    8.62    8.62 2004    6   25
2004.485 53182.5    1.20    1.20    1.20    1.22    2.12    2.12 2004    6   26
2004.488 53183.5    9.14    9.14    9.14    9.15   10.09   10.09 2004    6   27
2004.490 53184.5   13.69   13.69   13.69   13.70   14.69   14.69 2004    6   28
2004.493 53185.5    7.58    7.58    7.58    7.59    8.63    8.63 2004    6   29
2004.496 53186.5    4.05    4.05    4.05    4.06    5.14    5.14 2004    6   30
2004.499 53187.5    7.85    7.85    7.85    7.86    8.97    8.97 2004    7    1
2004.501 53188.5   19.50   19.50   19.50   19.51   20.61    9.76 2004    7    2
2004.504 53189.5    9.47    9.47    9.47    9.48   10.56   10.56 2004    7    3
2004.507 53190.5   11.98   11.98   11.98   11.98   13.03   13.03 2004    7    4
2004.510 53191.5    7.23    7.23    7.23    7.23    8.28    8.28 2004    7    5
2004.512 53192.5    9.49    9.49    9.49    9.50   10.53   10.53 2004    7    6
2004.515 53193.5   11.93   11.93   11.93   11.93   12.93   12.93 2004    7    7
2004.518 53194.5   -0.92   -0.92   -0.92   -0.92    0.08    0.08 2004    7    8
2004.521 53195.5   11.38   11.38   11.38   11.38   12.37   12.37 2004    7    9
2004.523 53196.5   -0.80   -0.80   -0.80   -0.80    0.18    0.18 2004    7   10
2004.526 53197.5    1.54    1.54    1.54    1.54    2.50    2.50 2004    7   11
2004.529 53198.5    6.28    6.28    6.28    6.27    7.22    7.22 2004    7   12
2004.531 53199.5    5.77    5.77    5.77    5.76    6.67    6.67 2004    7   13
2004.534 53200.5   -5.04   -5.04    3.18    3.18    4.07    4.07 2004    7   14
2004.537 53201.5    0.60    0.60    0.60    0.59    1.47    1.47 2004    7   15
2004.540 53202.5    3.46    3.46    3.46    3.45    4.30    4.30 2004    7   16
2004.542 53203.5    6.96    6.96    6.96    6.95    7.77    7.77 2004    7   17
2004.545 53204.5   12.02   12.02   12.02   12.01   12.81   12.81 2004    7   18
2004.548 53205.5    8.53    8.53    8.53    8.52    9.30    9.30 2004    7   19
2004.551 53206.5   -4.00   -4.00   -4.00   -4.02   -3.22   -3.22 2004    7   20
2004.553 53207.5    1.25    1.25    1.25    1.24    2.03    2.03 2004    7   21
2004.556 53208.5    6.74    6.74    6.74    6.72    7.51    7.51 2004    7   22
2004.559 53209.5    9.72    9.72    9.72    9.70   10.50   10.50 2004    7   23
2004.562 53210.5    5.05    5.05    5.05    5.03    5.79    5.79 2004    7   24
2004.564 53211.5    5.98    5.98    5.98    5.96    6.69    6.69 2004    7   25
2004.567 53212.5    1.96    1.96    1.96    1.93    2.66    2.66 2004    7   26
2004.570 53213.5    6.92    6.92    6.92    6.90    7.61    7.61 2004    7   27
